Tiempo_Homicidio,Homicidio,Tiempo_Hurto,Hurtos,Tiempo_Rinas,Rinas,Date,SentimentPolarity
3/18/19,1,3/18/19,83,3/18/19,56,3/18/19,2.37
3/19/19,0,3/19/19,96,3/19/19,46,3/19/19,0
3/20/19,4,3/20/19,100,3/20/19,58,3/20/19,0
3/21/19,0,3/21/19,114,3/21/19,41,3/21/19,0
3/22/19,1,3/22/19,107,3/22/19,44,3/22/19,2.2
3/23/19,4,3/23/19,85,3/23/19,59,3/23/19,2.33
3/24/19,3,3/24/19,54,3/24/19,82,3/24/19,2
3/25/19,6,3/25/19,67,3/25/19,59,3/25/19,2.25
3/26/19,2,3/26/19,105,3/26/19,51,3/26/19,2.16
3/27/19,2,3/27/19,83,3/27/19,58,3/27/19,2.26
3/28/19,2,3/28/19,107,3/28/19,60,3/28/19,2.26
3/29/19,1,3/29/19,127,3/29/19,44,3/29/19,2.2
3/30/19,3,3/30/19,120,3/30/19,68,3/30/19,2.25
3/31/19,2,3/31/19,83,3/31/19,114,3/31/19,2.09
4/1/19,3,4/1/19,98,4/1/19,49,4/1/19,2.33
4/2/19,4,4/2/19,102,4/2/19,59,4/2/19,2.32
4/3/19,1,4/3/19,88,4/3/19,51,4/3/19,2.31
4/4/19,0,4/4/19,85,4/4/19,51,4/4/19,2.31
4/5/19,0,4/5/19,102,4/5/19,44,4/5/19,2.37
4/6/19,7,4/6/19,117,4/6/19,75,4/6/19,2.31
4/7/19,3,4/7/19,70,4/7/19,98,4/7/19,2.38
4/8/19,3,4/8/19,92,4/8/19,42,4/8/19,2.41
4/9/19,4,4/9/19,90,4/9/19,38,4/9/19,2.07
4/10/19,1,4/10/19,97,4/10/19,38,4/10/19,2.31
4/11/19,0,4/11/19,94,4/11/19,26,4/11/19,2.37
4/12/19,3,4/12/19,138,4/12/19,42,4/12/19,2.2
4/13/19,2,4/13/19,82,4/13/19,49,4/13/19,2.17
4/14/19,2,4/14/19,72,4/14/19,53,4/14/19,2.46
4/15/19,2,4/15/19,83,4/15/19,32,4/15/19,2.29
4/16/19,1,4/16/19,74,4/16/19,33,4/16/19,2.4
4/17/19,2,4/17/19,77,4/17/19,48,4/17/19,2.33
4/18/19,1,4/18/19,46,4/18/19,31,4/18/19,2.34
4/19/19,3,4/19/19,32,4/19/19,22,4/19/19,2.25
4/20/19,1,4/20/19,44,4/20/19,36,4/20/19,2.19
4/21/19,3,4/21/19,48,4/21/19,36,4/21/19,2.33
4/22/19,4,4/22/19,97,4/22/19,21,4/22/19,2.27
4/23/19,1,4/23/19,95,4/23/19,52,4/23/19,2.36
4/24/19,0,4/24/19,115,4/24/19,29,4/24/19,2.23
4/25/19,0,4/25/19,111,4/25/19,40,4/25/19,2.16
4/26/19,3,4/26/19,117,4/26/19,37,4/26/19,2.2
4/27/19,2,4/27/19,129,4/27/19,70,4/27/19,2.25
4/28/19,2,4/28/19,77,4/28/19,86,4/28/19,2.13
4/29/19,2,4/29/19,108,4/29/19,48,4/29/19,2.17
4/30/19,2,4/30/19,107,4/30/19,41,4/30/19,2.37
5/1/19,5,5/1/19,67,5/1/19,78,5/1/19,2.31
5/2/19,5,5/2/19,109,5/2/19,46,5/2/19,2.36
5/3/19,3,5/3/19,118,5/3/19,37,5/3/19,2.27
5/4/19,1,5/4/19,82,5/4/19,66,5/4/19,2.36
5/5/19,6,5/5/19,75,5/5/19,92,5/5/19,2.03
5/6/19,1,5/6/19,111,5/6/19,54,5/6/19,2.27
5/7/19,0,5/7/19,104,5/7/19,50,5/7/19,2.36
5/8/19,0,5/8/19,102,5/8/19,37,5/8/19,2.38
5/9/19,2,5/9/19,110,5/9/19,54,5/9/19,2.32
5/10/19,2,5/10/19,99,5/10/19,43,5/10/19,2.27
5/11/19,6,5/11/19,87,5/11/19,80,5/11/19,2.54
5/12/19,4,5/12/19,56,5/12/19,133,5/12/19,2.32
5/13/19,3,5/13/19,79,5/13/19,47,5/13/19,2.33
5/14/19,4,5/14/19,68,5/14/19,52,5/14/19,2.3
5/15/19,4,5/15/19,105,5/15/19,51,5/15/19,2.35
5/16/19,0,5/16/19,97,5/16/19,54,5/16/19,2.19
5/17/19,2,5/17/19,121,5/17/19,56,5/17/19,2.33
5/18/19,1,5/18/19,88,5/18/19,56,5/18/19,2.41
5/19/19,2,5/19/19,78,5/19/19,67,5/19/19,2.37
5/20/19,2,5/20/19,85,5/20/19,66,5/20/19,2.4
5/21/19,5,5/21/19,92,5/21/19,49,5/21/19,2.31
