Tiempo,Cantidad
2019-03-18,2
2019-03-19,2
2019-03-20,3
2019-03-21,5
2019-03-22,7
2019-03-23,4
2019-03-26,8
2019-03-28,4
2019-03-29,3
2019-03-30,6
2019-03-31,2
2019-04-01,3
2019-04-02,4
2019-04-03,3
2019-04-04,3
2019-04-05,1
2019-04-06,4
2019-04-07,2
2019-04-08,2
2019-04-09,6
2019-04-10,2
2019-04-12,3
2019-04-13,2
2019-04-15,4
2019-04-16,2
2019-04-17,3
2019-04-18,1
2019-04-19,2
2019-04-20,1
2019-04-21,4
2019-04-22,3
2019-04-23,1
2019-04-24,5
2019-04-25,5
2019-04-26,4
2019-04-27,3
2019-04-28,1
2019-04-29,4
2019-04-30,4
2019-05-01,1
2019-05-02,5
2019-05-03,4
2019-05-04,2
2019-05-05,2
2019-05-06,3
2019-05-07,6
2019-05-09,2
2019-05-10,4
2019-05-11,2
2019-05-13,3
2019-05-14,1
2019-05-15,1
2019-05-16,5
2019-05-17,3
2019-05-18,7
2019-05-19,3
2019-05-20,5
2019-05-21,3
2019-05-22,3
2019-05-23,2
2019-05-24,3
2019-05-26,3
2019-05-27,5
2019-05-28,4
2019-05-29,2
2019-05-30,1
2019-05-31,1
2019-06-01,1
2019-06-02,4
2019-06-03,2
2019-06-04,4
2019-06-05,6
2019-06-06,1
2019-06-07,7
2019-06-08,2
2019-06-10,4
2019-06-11,3
2019-06-12,5
2019-06-13,3
2019-06-14,4
2019-06-15,3
2019-06-16,3
2019-06-17,4
2019-06-18,6
2019-06-19,2
2019-06-20,2
2019-06-21,3
2019-06-22,3
2019-06-23,4
2019-06-24,4
2019-06-25,5
2019-06-26,3
2019-06-27,5
2019-06-28,4
2019-06-29,3
2019-06-30,1
2019-07-01,5
2019-07-02,5
2019-07-03,6
2019-07-04,5
2019-07-05,2
2019-07-06,5
2019-07-07,5
2019-07-08,3
2019-07-09,1
2019-07-10,3
2019-07-11,4
2019-07-12,1
2019-07-13,6
2019-07-14,1
2019-07-15,1
2019-07-16,3
2019-07-17,4
2019-07-18,2
2019-07-19,3
2019-07-20,4
2019-07-22,1
2019-07-23,2
2019-07-25,3
2019-07-26,4
2019-07-27,2
2019-07-28,1
2019-07-29,3
2019-07-30,1
2019-07-31,1
2019-08-01,3
2019-08-02,2
2019-08-03,2
2019-08-04,1
2019-08-05,1
2019-08-06,2
2019-08-07,1
2019-08-08,3
2019-08-09,2
2019-08-10,4
2019-08-11,3
2019-08-12,4
2019-08-13,2
2019-08-14,4
2019-08-15,7
2019-08-16,2
2019-08-17,4
2019-08-18,1
2019-08-19,2
2019-08-20,4
2019-08-21,1
2019-08-23,3
2019-08-24,6
2019-08-25,4
2019-08-26,2
2019-08-27,3
2019-08-28,3
2019-08-29,5
2019-08-30,4
2019-08-31,5
2019-09-01,1
2019-09-02,4
2019-09-03,3
2019-09-04,3
2019-09-05,2
2019-09-06,7
2019-09-07,2
2019-09-08,1
2019-09-09,2
2019-09-10,1
2019-09-11,2
2019-09-12,8
2019-09-13,2
2019-09-14,4
2019-09-15,3
2019-09-16,4
2019-09-17,3
2019-09-18,5
2019-09-19,1
2019-09-20,5
2019-09-21,5
2019-09-23,2
2019-09-25,3
2019-09-27,1
2019-09-28,3
2019-09-29,3
2019-09-30,3
2019-10-01,6
2019-10-02,2
2019-10-04,2
2019-10-05,1
2019-10-06,1
2019-10-07,2
2019-10-08,6
2019-10-09,3
2019-10-10,3
2019-10-11,2
2019-10-12,1
2019-10-14,2
2019-10-15,3
2019-10-16,1
2019-10-17,7
2019-10-18,1
2019-10-19,2
2019-10-20,5
2019-10-21,4
2019-10-22,2
2019-10-23,2
2019-10-24,1
2019-10-25,2
2019-10-26,1
2019-10-28,1
2019-10-29,3
2019-10-30,5
2019-10-31,2
2019-11-02,4
2019-11-03,2
2019-11-04,1
2019-11-05,2
2019-11-06,2
2019-11-07,3
2019-11-08,5
2019-11-10,3
2019-11-11,2
2019-11-12,3
2019-11-13,5
2019-11-14,3
2019-11-15,5
2019-11-16,4
2019-11-17,1
2019-11-18,2
2019-11-19,6
2019-11-20,2
2019-11-21,11
2019-11-22,15
2019-11-25,5
2019-11-26,5
2019-11-27,3
2019-11-28,3
2019-11-29,7
2019-11-30,4
2019-12-01,1
2019-12-02,3
2019-12-03,2
2019-12-04,6
2019-12-05,3
2019-12-06,2
2019-12-07,5
2019-12-08,3
2019-12-09,2
2019-12-10,1
2019-12-11,3
2019-12-12,7
2019-12-13,4
2019-12-14,8
2019-12-15,3
2019-12-16,4
2019-12-17,1
2019-12-18,4
2019-12-19,2
2019-12-20,3
2019-12-21,4
2019-12-22,1
2019-12-23,2
2019-12-24,1
2019-12-25,1
2019-12-26,3
2019-12-27,5
2019-12-28,4
2019-12-30,3
2019-12-31,4
2020-01-01,3
2020-01-02,4
2020-01-03,8
2020-01-04,4
2020-01-05,3
2020-01-06,4
2020-01-07,6
2020-01-08,3
2020-01-09,1
2020-01-10,5
2020-01-11,5
2020-01-13,2
2020-01-14,3
2020-01-15,1
2020-01-16,4
2020-01-17,5
2020-01-18,4
2020-01-21,1
2020-01-22,4
2020-01-23,2
2020-01-24,2
2020-01-25,1
2020-01-26,2
2020-01-27,3
2020-01-28,3
2020-01-30,3
2020-01-31,2
2020-02-02,2
2020-02-03,2
2020-02-04,5
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-09,4
2020-02-10,4
2020-02-11,4
2020-02-12,6
2020-02-13,2
2020-02-14,3
2020-02-15,1
2020-02-17,4
2020-02-18,1
2020-02-19,1
2020-02-20,6
2020-02-21,2
2020-02-22,1
2020-02-23,1
2020-02-24,6
2020-02-25,2
2020-02-27,2
2020-02-28,5
2020-02-29,1
2020-03-01,1
2020-03-02,2
2020-03-03,3
2020-03-04,2
2020-03-05,1
2020-03-06,3
2020-03-09,2
2020-03-10,1
2020-03-11,5
2020-03-12,2
2020-03-13,1
2020-03-14,2
2020-03-15,1
2020-03-16,5
2020-03-17,2
2020-03-18,2
2020-03-19,2
2020-03-20,1
2020-03-21,2
2020-03-22,1
2020-03-24,1
2020-03-25,1
2020-03-28,1
2020-03-29,1
2020-03-30,1
2020-03-31,1
2020-04-02,1
2020-04-07,1
2020-04-08,1
2020-04-09,1
2020-04-11,1
2020-04-13,2
2020-04-14,1
2020-04-15,2
2020-04-17,1
2020-04-18,2
2020-04-19,1
2020-04-20,1
