f1_BOW_SGD,f1_TFIDF_SGD,f1_BOW_BNB,f1_TFIDF_BNB,f1_BOW_LR,f1_TFIDF_LR,f1_BOW_MNB,f1_TFIDF_MNB
0.308920462366448,0.288010653307457,0.317589010537112,0.317589010537112,0.32008657648667466,0.3154994152816064,0.3315513112151803,0.2278119007248794
0.3364487654455561,0.2974595959969038,0.311899415861515,0.311899415861515,0.3212920695444019,0.22768868038172818,0.3423898551359772,0.24479249821715576
0.24796232000565555,0.20023731713239107,0.32479700216735985,0.32479700216735985,0.3440556077672494,0.28930062424687547,0.35440037695109594,0.11808430791525869
0.32788665084892427,0.27938208167606193,0.21931856516448114,0.21931856516448114,0.23977789315064904,0.1984062860109209,0.24185502577486345,0.2236445407562194
0.36607369462789763,0.19165676096774031,0.312547583669813,0.312547583669813,0.3259843131288389,0.297714752883563,0.324524989565273,0.1536808909037154
0.36503620600986975,0.2735851391182618,0.35658516890862646,0.35658516890862646,0.33914227101419864,0.3250386763294595,0.37490796267388005,0.22093730057367944
0.28083783849159255,0.28538221849191653,0.2689166902455645,0.2689166902455645,0.31801565020536404,0.2509087521642317,0.2768422996847411,0.2390832843863582
0.3555188371577467,0.21552268732146782,0.3260386360859131,0.3260386360859131,0.34848818725925085,0.32988148029598174,0.33914728382490733,0.22579520312264534
0.31304767680494594,0.29697772098213066,0.35368674889392254,0.35368674889392254,0.3132935743956713,0.31474920078542107,0.36675717132494234,0.1656546388708439
0.35828172607531034,0.29642285398165097,0.34899738931283064,0.34899738931283064,0.3605680418719212,0.3073781246029839,0.3613586875849518,0.25195652558550474
