prec_BOW_SGD,prec_TFIDF_SGD,prec_BOW_BNB,prec_TFIDF_BNB,prec_BOW_LR,prec_TFIDF_LR,prec_BOW_MNB,prec_TFIDF_MNB
0.3905206297659782,0.4489355523511976,0.4381744998183354,0.4381744998183354,0.36371092133803884,0.4668501678902492,0.41415896092132976,0.5400228191404473
0.4445420969651343,0.4677921973884483,0.4287869490043065,0.4287869490043065,0.37174063738407304,0.37237002495385124,0.3837184732186502,0.49430411293425
0.36288462479072997,0.5043148077796897,0.36370197545489624,0.36370197545489624,0.4190547517525315,0.43584577117976353,0.4028728705972756,0.46331090196532587
0.4169615596966281,0.4488054655232016,0.4426993888617781,0.4426993888617781,0.4277220181673247,0.4624278140259876,0.406878033967696,0.38073291340297455
0.43993188150563106,0.4257634718192111,0.3643327962958592,0.3643327962958592,0.40293068202384874,0.46364334357959514,0.37442627370539094,0.5387984712500536
0.3982827373710984,0.5000292545033129,0.42635603848287357,0.42635603848287357,0.43913961147056557,0.47829998410113705,0.4429677794630389,0.5454128805993942
0.4272192249572266,0.48331639566395673,0.4393952385243683,0.4393952385243683,0.41644903643480874,0.40425377468060397,0.43370659560392977,0.49845215598766335
0.41129335603420963,0.35533657547541697,0.4408028613499203,0.4408028613499203,0.4125374064537602,0.3673273183641439,0.36964155761805595,0.5405327342747112
0.29832595885094687,0.39411014031375985,0.3753725492298165,0.3753725492298165,0.30053816919721815,0.41961496714242214,0.4131258981385725,0.5002470076784101
0.42526626078988516,0.4110294158120999,0.4224724922469063,0.4224724922469063,0.3943208535913366,0.4080209920257829,0.43081830458537673,0.46949128482301056
