f1_BOW_SGD,f1_TFIDF_SGD,f1_BOW_BNB,f1_TFIDF_BNB,f1_BOW_LR,f1_TFIDF_LR,f1_BOW_MNB,f1_TFIDF_MNB
0.3348377510144841,0.28811727268455084,0.317589010537112,0.317589010537112,0.32008657648667466,0.3154994152816064,0.3315513112151803,0.2278119007248794
0.33066276026522096,0.30420073707536055,0.311899415861515,0.311899415861515,0.3212920695444019,0.22768868038172818,0.3423898551359772,0.24479249821715576
0.2853964617919482,0.1851300710490463,0.32479700216735985,0.32479700216735985,0.3440556077672494,0.28930062424687547,0.35440037695109594,0.11808430791525869
0.3336582419213187,0.27369369162228785,0.21931856516448114,0.21931856516448114,0.23977789315064904,0.1984062860109209,0.24185502577486345,0.2236445407562194
0.2217177267990862,0.19115416543627597,0.312547583669813,0.312547583669813,0.3259843131288389,0.297714752883563,0.324524989565273,0.1536808909037154
0.30987067493842074,0.27394280393222825,0.35658516890862646,0.35658516890862646,0.33914227101419864,0.3250386763294595,0.37490796267388005,0.22093730057367944
0.35368406645068645,0.3041595254256951,0.2689166902455645,0.2689166902455645,0.31801565020536404,0.2509087521642317,0.2768422996847411,0.2390832843863582
0.26699961623742113,0.20569482685877755,0.3260386360859131,0.3260386360859131,0.34848818725925085,0.32988148029598174,0.33914728382490733,0.22579520312264534
0.33542838072006487,0.29772772295245026,0.35368674889392254,0.35368674889392254,0.3132935743956713,0.31474920078542107,0.36675717132494234,0.1656546388708439
0.3429202071776396,0.29266572367918037,0.34899738931283064,0.34899738931283064,0.3605680418719212,0.3073781246029839,0.3613586875849518,0.25195652558550474
