,feature1,feature2,feature3,feature4,feature5
38,"('en', 0.0)","('trabajamos', 0.0)","('para', 0.0)","('que', 0.0)","('las', 0.0)"
39,"('esmad', 0.3344283477089735)","('usen', -0.08500175047424507)","('invocan', -0.0024712345815836806)","('tiene', 0.002395105628675637)","('pero', -0.0018225040477659975)"
40,"('menor', -0.18396342742849073)","('horror', 0.0723792439443481)","('capital', -0.07082154416651854)","('de', 0.002266242134590597)","('causo', 0.0019475954945271988)"
41,"('ruin', 0.12450888045160724)","('arma', 0.1026892441214475)","('un', 0.0018386565056839898)","('personas', 0.00158666445997065)","('es', 0.0012741661388159578)"
42,"('ciudad', 0.22462516615564448)","('los', -0.10316523721446355)","('genera', 0.0018737975733400425)","('un', 0.001495927243051319)","('de', -0.0013807383776505572)"
43,"('la', 0.0)","('policia', 0.0)","('dira', 0.0)","('que', 0.0)","('como', 0.0)"
44,"('bus', -0.14728349096120832)","('los', 0.017474320924963472)","('estan', -0.010497577752862756)","('buen', 0.00615262533047377)","('buses', 0.0015738298436638125)"
45,"('ciudad', 0.16592726023975068)","('los', -0.05459954364218967)","('bici', -0.03714191117332489)","('un', 0.0022666331542394035)","('o', -0.0021796877403434905)"
46,"('hp', -0.06108611276979088)","('mas', -0.013449494274367577)","('los', -0.0011307288014884313)","('al', -0.0005199772620797744)","('marihuaneros', -0.0005082270058970542)"
47,"('paz', 0.11423079026858239)","('mil', -0.063557040589682)","('ano', 0.029452775706831077)","('mas', -0.017886598027247836)","('justicia', -0.00045774212906711737)"
48,"('interior', -0.14112414443123536)","('licor', 0.11898003390242061)","('movil', 0.07845887871475395)","('los', -0.07335185775762995)","('buses', -0.004611173203872578)"
49,"('informacion', -0.1904664192165787)","('los', 0.015989772252331908)","('seguridad', -0.0020551300218232256)","('y', -0.0010031223480846323)","('para', 0.0009475108123604855)"
50,"('ciudad', 0.1647422306435799)","('desorden', -0.06594102426385434)","('los', -0.0446152185539275)","('drogas', -0.014776379409842439)","('ramplante', 0.0016325202997807223)"
51,"('sur', 0.1982323629248754)","('celular', 0.1857010610663251)","('los', -0.08906700672512248)","('arma', 0.06756532244549775)","('coronavirus', -0.06430870069195037)"
52,"('medellin', -0.19994380389622055)","('pais', 0.17485793235112732)","('cali', 0.10578451667736091)","('edad', -0.04728142454251278)","('lo', -0.0020222068468361766)"
53,"('asi', -0.073902009072452)","('manos', -0.0262755098215907)","('en', 0.001538723595657154)","('sin', 0.001352499277399874)","('que', -0.0009714437641410442)"
54,"('son', 0.17130438241181303)","('medellin', -0.14704122424633922)","('florez', -0.11010041633725728)","('esta', 0.0037499951141373093)","('debe', -0.003432418657305759)"
55,"('vandalos', 7.480301807659316e-32)","('sociales', 6.186486896057264e-32)","('inmundos', 4.784051298337114e-32)","('basofias', 4.7196574896772156e-32)","('drogos', 4.358314532408881e-32)"
56,"('son', 0.11223862739112256)","('actor', -0.06560758354498107)","('drogadiccion', -0.05372285089734655)","('formacion', -0.045488450420219706)","('mil', -0.019525553334104703)"
57,"('los', -0.03677211259739819)","('sobrepoblado', -6.710869580791661e-06)","('toxico', -6.704479991545071e-06)","('un', -5.153524102785034e-06)","('inseguro', -5.020739874135747e-06)"
58,"('drogadiccion', -0.05088487645521425)","('antro', -0.050323535865906426)","('corrupcion', 0.03422712775395515)","('mal', -0.029259116632594954)","('de', -0.0009166954992847731)"
59,"('mujer', -0.06206788077166591)","('estacion', -0.03656916117758676)","('ladron', 0.0040285476393756015)","('calle', -0.0011371782028716502)","('un', -0.001017034332067144)"
60,"('mujer', -0.12781069096109798)","('los', -0.004552131140439089)","('etc', -0.0010410849249033027)","('violencia', 0.000816780618359639)","('habria', -0.0005846426148886321)"
61,"('sexual', -0.1743864830977885)","('interpersonal', 0.05108715725760466)","('muertes', -0.0015913559751388208)","('violencia', -0.00095308347857263)","('intrafamiliar', -0.0009517037808241882)"
62,"('hoy', -0.0548143631832331)","('los', 0.033744189651754165)","('hp', -0.028718010754625163)","('educacion', -0.016246188462796955)","('superior', 0.004029384957650738)"
63,"('menor', -0.16953596172272364)","('ied', 0.02879669124760593)","('aqui', 0.007866824021308155)","('edad', -0.007337470211966609)","('estan', -0.00608291583683954)"
64,"('col', -0.05232054711960382)","('institucion', -0.03933593186427478)","('hoy', -0.029954613559082393)","('interior', -0.02447606908189981)","('nacional', 0.010708166479797821)"
65,"('trancon', -0.18433766049092642)","('fds', 0.03369464695349154)","('placa', -0.0010210163452285036)","('paciencia', -0.0009409823091778705)","('no', 0.0006875058329964219)"
66,"('dos', 0.032024415374577064)","('policia', 6.560974335321969e-06)","('auxiliar', 6.087082771388772e-06)","('la', 5.120222748825544e-06)","('de', 3.043197066345125e-06)"
67,"('habitacion', 0.12450935360546542)","('parque', -0.04606858633131369)","('lugar', -0.043470784222628484)","('vez', -0.028391657004249934)","('anos', -0.02087743409741135)"
68,"('celular', 0.28345663932636483)","('andar', -0.06527138230811462)","('de', 0.002561244247963404)","('borracha', 0.002319353704014087)","('por', 0.0015238647494157105)"
69,"('volver', -0.03329752342470648)","('van', 0.0033059989572029095)","('para', -0.00033527959315239164)","('a', -0.00032981615210600246)","('la', -0.00024224597769695132)"
70,"('son', 0.17818154764786223)","('bronx', -0.17444831247505552)","('movil', 0.1121360097208838)","('esa', -0.0014564792869734221)","('que', 0.0013464399882999526)"
71,"('celular', 0.18230222847237298)","('kawaii', -0.06311575174798868)","('adiccion', -0.0630792124280764)","('los', -0.030003281266299166)","('forma', 0.0024861657096651537)"
72,"('peor', -0.10609470354118007)","('social', 0.061225468265878234)","('ahi', 0.03157850525958875)","('manos', -0.03120483985760775)","('sin', -0.012449727152168074)"
73,"('asi', -0.15006934155609294)","('la', -2.1572907559973197e-05)","('banda', -1.5987797822163946e-05)","('temible', -1.569147354532359e-05)","('operaba', -6.468024734208101e-06)"
74,"('desarticulan', 0.0)","('banda', 0.0)","('dedicada', 0.0)","('al', 0.0)","('cosquilleo', 0.0)"
75,"('la', 0.0)","('calle', 0.0)","('taponada', 0.0)","('por', 0.0)","('semaforos', 0.0)"
76,"('santi', 0.23922286108976099)","('nos', -0.055035043022635524)","('haga', 0.0014417020830535343)","('y', 0.0012235207937160593)","('quieres', -0.001036675315334965)"
77,"('seguir', -0.20705312120317654)","('man', 0.12052931842317982)","('imbecil', 0.11815003422301848)","('de', -0.0016898339899151502)","('merecido', 0.0014424939097385306)"
78,"('usted', 0.2895517159648996)","('los', -0.07637294012100361)","('com', -0.03939678577801212)","('van', -0.02221879094211873)","('ano', 0.018658019004877985)"
79,"('ciudad', 0.21816732636575367)","('opcion', 0.02435727851325563)","('mas', -0.018327115608858396)","('en', 0.0019375001109319195)","('bogota', -0.001062472814128587)"
80,"('hoy', -0.10839395890363016)","('ley', -0.03671821725906385)","('edad', 0.004603521296705031)","('que', 0.0016760902702355656)","('protocolos', -0.001221373200944218)"
81,"('hoy', -0.10715737340609904)","('ley', -0.03677826477845194)","('edad', 0.005140341748368068)","('es', -0.002382083947851621)","('armados', 0.0013264471776113494)"
82,"('seguramente', 0.0)","('tenian', 0.0)","('en', 0.0)","('mente', 0.0)","('el', 0.0)"
83,"('delincuencial', -0.08788178058697106)","('accion', 0.08358587089268614)","('hoy', -0.07535465719389277)","('cc', -0.031570822808148394)","('los', 0.015752629739388624)"
84,"('dias', -0.11838497537662382)","('los', 0.014885024672192267)","('una', -0.001295662556407099)","('aplastan', -0.0010877270481070003)","('que', 0.0009617395932912526)"
85,"('asco', -0.06082152510175826)","('los', 0.03301025852699948)","('da', -0.02516419251529265)","('mas', -0.006452616284966796)","('a', -0.0006223645420861182)"
86,"('conozca', 0.0)","('la', 0.0)","('historia', 0.0)","('de', 0.0)","('pareja', 0.0)"
87,"('los', -0.029922063981282193)","('cayeron', 0.006867949776876659)","('transmilenio', -0.00020174489070830777)","('de', -0.0001375068943525433)","('robo', -0.00013732037176250532)"
88,"('medellin', -0.203419479228853)","('de', -5.064611587724488e-05)","('que', -4.441730174540681e-05)","('habitante', -2.940646834894932e-05)","('descaro', -2.6196358825528255e-05)"
89,"('comision', 0.17195053791520254)","('distrital', -0.1459212710939909)","('administracion', -0.020885879765557214)","('mes', 0.02039992710335521)","('que', 0.0009733712515526995)"
90,"('dia', 0.15495088316813888)","('hoy', -0.12629769817372838)","('da', -0.04734899547142354)","('mejor', -0.04221284609681294)","('los', -0.016575693220677413)"
91,"('nacional', 0.018521884605921326)","('la', 3.444702813695638e-06)","('de', 3.0604907426297794e-06)","('estudiantes', 2.7286836703005303e-06)","('universidad', 2.5906842936346917e-06)"
