,feature1,feature2,feature3,feature4,feature5
0,"('mujer', 0.0678919531977682)","('ano', 0.0245628593892683)","('corporacion', -0.010798527520694393)","('erradicacion', -0.010737876099631753)","('eje', -0.010725798613839802)"
1,"('igual', 0.007153252413553785)","('asi', -0.002233683350390181)","('nos', -0.0015655814957503062)","('se', -6.323564888693061e-05)","('pensar', 5.3349118556993846e-05)"
2,"('aqui', 0.014255264228929825)","('ciudad', -0.009309235396129002)","('luis', 0.004820196195060424)","('garzon', -0.0043345688402726765)","('asco', -0.0034980034408265835)"
3,"('pero', 1.4695044168762577e-32)","('esto', 5.757551186815812e-33)","('prohibido', 1.0092082254391779e-33)","('normas', 6.4828672563128655e-34)","('esta', 3.7296161974962154e-34)"
4,"('bus', -0.02317859855424622)","('mal', -0.021362188969321756)","('ser', 0.013341934416843754)","('bien', 0.011503587734308483)","('nivel', -0.005874583358350796)"
5,"('ano', 0.07490069449752025)","('lo', 5.430675456082484e-06)","('del', 9.012615861147896e-07)","('en', -8.792782803616812e-07)","('corrido', 2.7428904665671404e-08)"
6,"('superior', -0.0076336891900378855)","('mas', 0.0073963617977272425)","('los', -0.002496836839238511)","('ramon', 0.0003230527273956725)","('tribunal', 0.000310746397935164)"
7,"('mujer', 0.07546271068602362)","('corrupcion', -0.056196101316433586)","('capital', 0.01436485089291058)","('no', 0.0017417170695323298)","('de', -0.001216217871861386)"
8,"('ningun', -0.017241074885301896)","('nos', 0.004029009589439311)","('favor', 0.002361339107931558)","('varias', -0.00032846404021042873)","('cuentan', 0.00025911548045022147)"
9,"('dan', -0.009081351481898554)","('cai', -0.002876072835604116)","('son', 0.002182171147651298)","('grafitis', -0.0019674764573841368)","('asco', -0.0012980531939449284)"
10,"('fleteo', 2.3131604263302523e-32)","('denuncia', -5.402822077956481e-33)","('joyitas', 4.628978519988473e-33)","('que', -2.8800793395944293e-33)","('comerciante', 1.8839784046199242e-33)"
11,"('sexual', 0.03261118549592223)","('anos', -0.016045989311842524)","('los', -0.010269132892790198)","('a', -0.0006200672509872735)","('violencia', -0.0004855306561698153)"
12,"('capital', 0.021197947656509047)","('lugar', -0.019052149530571397)","('plan', 0.017675984903309096)","('son', -0.008617935546882985)","('asi', -0.0031550408470754766)"
13,"('mujer', 0.09094677821827761)","('los', -0.02636221231707815)","('dia', -0.010886740069527792)","('rodriguez', 0.010843355514675154)","('mas', 0.007693059127676626)"
14,"('atencion', 0.06557564856555576)","('los', -0.03837237055943396)","('persecucion', -0.011878246321644534)","('fontibon', -0.011178851027330598)","('a', 0.0017612649364447458)"
15,"('militar', -0.011689514191169604)","('anos', -0.007256709729640039)","('ahi', 0.006010277971763249)","('vez', 0.0029911107908760603)","('unal', 0.0008659651672375258)"
16,"('inclusion', 0.02684845813222175)","('uneb', 0.012237469762333069)","('los', -0.011369203941940654)","('mas', 0.009927511545854972)","('mundial', 0.00786524726724347)"
17,"('vias', 0.04578836327283133)","('los', -0.022992236158393298)","('normas', 0.0005813575196427015)","('ninos', -0.0005502423022226074)","('programa', 0.00045550806135851856)"
18,"('dic', -0.0192481151714543)","('loc', -0.0069748311474798754)","('concejal', 0.005593802770194174)","('nov', 0.0015575325514961685)","('sigue', -0.0002605284436347519)"
