,feature1,feature2,feature3,feature4,feature5
0,"('mujer', 0.007311387117878404)","('paz', 0.005627483797873582)","('erradicacion', -0.0012980935390208804)","('corporacion', -0.001290057611839826)","('eje', -0.0012172020710671395)"
1,"('asi', -0.0025919034973395797)","('nos', 0.000999164538463084)","('igual', -0.00023574263796886783)","('tema', 3.855508230401792e-05)","('no', -2.42842919833163e-05)"
2,"('hpta', 0.0007083007484654592)","('ciudad', -0.0004064191895693965)","('garzon', -0.0001811805691001254)","('empezo', -0.00017367194734947848)","('desorden', 0.00016003111030825633)"
3,"('pero', 3.673761042190644e-33)","('esto', 1.439387796703953e-33)","('prohibido', 2.5230205635979448e-34)","('normas', 1.6207168140782164e-34)","('esta', 9.324040493740539e-35)"
4,"('mal', -0.0012808233171432047)","('bus', -0.001040097592836266)","('bien', -0.0009543149841449484)","('ser', -0.0008383366637834117)","('indignacion', 0.0005318536242660534)"
5,"('ano', 0.003782794870360303)","('lo', 2.74271572455605e-07)","('del', 4.55174378238664e-08)","('en', -4.440718995835749e-08)","('corrido', 1.3852731349094799e-09)"
6,"('mas', -0.0005577516952412933)","('tribunal', 0.0005385712493591161)","('ramon', 0.0005319932088293681)","('superior', -0.00032090340476346866)","('los', -7.708054934892446e-05)"
7,"('mujer', 0.008192191982594303)","('corrupcion', -0.005069952164656036)","('capital', 0.001528976512986622)","('no', 0.00017864339716575726)","('de', -0.00012149227294272206)"
8,"('favor', -0.002127303910750238)","('ningun', -0.0014048077596037528)","('nos', 0.000718463720344605)","('varias', -3.7944123267517614e-05)","('en', 2.88315768210959e-05)"
9,"('dan', -0.0012833947179060356)","('son', 0.00035109630660667214)","('grafitis', -0.0003074667961816896)","('asco', 0.0001694446786610225)","('los', 0.00010330084008447032)"
10,"('que', 0.0)","('joyitas', 0.0)","('comerciante', 0.0)","('denuncia', 0.0)","('fleteo', 0.0)"
11,"('sexual', 0.0017916979752447882)","('anos', -0.0011423925604228528)","('los', -0.00031091097054762644)","('a', -3.0683794065457543e-05)","('violencia', -2.081646820456122e-05)"
12,"('capital', 0.0025676374634475384)","('asi', -0.0021966370521058843)","('lugar', -0.0009655187373631965)","('plan', -0.0005397822416160494)","('son', 0.00014763487418302225)"
13,"('mujer', 0.009469492105576433)","('los', -0.001544562886151234)","('rodriguez', -0.0013373289374282987)","('mas', -0.0010190126918465554)","('dia', -0.00046345116818378393)"
14,"('los', -0.005985124663060319)","('persecucion', 0.004933471742949745)","('fontibon', 0.004083409271864162)","('atencion', 0.0019928952220053045)","('una', -8.164051914531954e-05)"
15,"('vez', 0.0020868019875988388)","('militar', -0.0013062006515681584)","('ahi', -0.001120158756262349)","('anos', -0.0006579740098251139)","('unal', 0.00018239740781984446)"
16,"('favor', -0.0011683204454736424)","('mas', -0.0008598736868211867)","('inclusion', 0.0004973148230433074)","('uneb', 0.0004510512874947615)","('mundial', 0.0002533595843845384)"
17,"('vias', 0.003888658355847405)","('los', -0.0017546032171238625)","('normas', 4.358359496732206e-05)","('ninos', -4.1072082864586214e-05)","('programa', 3.417563125845779e-05)"
18,"('dic', -0.0017174131032283435)","('concejal', -0.0004756087941329468)","('nov', 0.0002793118730411266)","('loc', -0.00021522647379374187)","('del', -2.0159327520067583e-05)"
19,"('celular', -0.0010690222127611557)","('feliz', 0.00045946408559099667)","('hdp', 2.8296217851490094e-05)","('no', -1.0205832676456367e-05)","('robo', 9.329631948131154e-06)"
20,"('alcohol', -0.0011475385758077104)","('drogas', 0.00040439441085933535)","('en', -1.177247525512657e-05)","('la', -1.127963419192685e-05)","('o', 1.0208145044827243e-05)"
21,"('van', -0.0011376264029717678)","('los', 0.0004027201207047202)","('fin', -0.000340529511370674)","('ciudad', -0.0001247299334440708)","('dejen', -2.130456624898236e-05)"
22,"('veo', -0.001408937002811128)","('buses', -3.2461385107901514e-07)","('esos', -2.820399286779358e-07)","('mismos', -2.2819978322784326e-07)","('en', -2.1177056135504608e-07)"
23,"('kennedy', 0.005360511892327226)","('pan', -0.0017636435836467996)","('dia', -0.0006880723860346155)","('lideres', 0.00038504352683827906)","('seguridad', 4.1010044408266115e-05)"
24,"('ver', -0.0007624843551785725)","('cartel', 0.0005997476114724036)","('farc', -0.0003525637618216482)","('estas', -0.00010914297994063064)","('vean', 8.296445672186625e-05)"
25,"('bus', -0.002071626045044299)","('tres', 0.0019078176203795039)","('celular', -0.0006473945874932837)","('hombre', 0.00013886216099095826)","('estaciones', 3.680085438654844e-05)"
26,"('mujer', 0.006739063194134933)","('veo', -0.002568115995829839)","('los', -0.0019847164265601024)","('mas', -0.0014973761185773748)","('de', 0.00017099524612874408)"
27,"('denuncian', 0.0)","('nuevo', 0.0)","('caso', 0.0)","('de', 0.0)","('intento', 0.0)"
28,"('muy', 0.0)","('seguramente', 0.0)","('el', 0.0)","('propietario', 0.0)","('esta', 0.0)"
29,"('celular', -0.0016990408237267773)","('uno', -3.995303921383957e-07)","('cuando', -3.591802599797994e-07)","('a', -2.8398335926820344e-07)","('lo', -2.2401888090489986e-07)"
30,"('comparacion', 0.0032809473194371163)","('sin', -0.0009210624464216061)","('ver', -0.0008039483609969294)","('los', -0.0005926902726072887)","('anos', -0.0005443689352645543)"
31,"('mas', -0.001988217839028897)","('que', -4.859180643938471e-07)","('encantaria', -4.196546153591113e-07)","('me', -4.0938067785730597e-07)","('cada', -3.5539114263659324e-07)"
32,"('van', -0.0023741206648084713)","('de', -7.194917708304422e-07)","('homofobia', -6.089263175103708e-07)","('hay', -5.573457294664564e-07)","('victimas', -4.5492901178336315e-07)"
33,"('via', 0.0005262548041316563)","('tweet', -0.0002771759547135209)","('cai', -0.00021151748856071658)","('demostracion', -0.00013707288960433252)","('los', -0.00010230964579038404)"
34,"('gran', -0.0009341672452403691)","('son', 0.000352462424524159)","('caso', -2.683099494586963e-05)","('el', -2.177123375303416e-05)","('las', 1.9763787621458858e-05)"
35,"('los', -0.00021405351037733666)","('en', -4.782317105452826e-08)","('es', -4.556456969742576e-08)","('bogota', -3.823351451051213e-08)","('movilizarse', -3.743019308400439e-08)"
36,"('vial', 0.0026233068402745485)","('ciudad', -0.0009212085988201297)","('los', -0.0004925310817079)","('claves', -1.9281049009240846e-05)","('actores', -1.84337132187429e-05)"
37,"('menor', -0.004293633461866639)","('con', -6.761164448686142e-07)","('tijeras', -5.765441733342727e-07)","('atacado', -5.651473097877493e-07)","('fue', -5.349268809185034e-07)"
38,"('en', 0.0)","('trabajamos', 0.0)","('para', 0.0)","('que', 0.0)","('las', 0.0)"
39,"('esmad', -0.0039089379777091145)","('usen', 0.0013484628026304971)","('como', -4.3744699803476845e-05)","('violo', -4.188473636736408e-05)","('entre', 2.7037100891736906e-05)"
40,"('capital', 0.003541967799904118)","('menor', -0.0031938798581103885)","('horror', -0.000755739728717166)","('caso', 3.54352950576391e-05)","('secuestro', 2.2796365533910327e-05)"
41,"('arma', -0.0017145446263791319)","('ruin', 0.0001777127852051856)","('desadaptadas', -1.9902453919986112e-05)","('al', -1.3944996277969984e-05)","('incultas', -1.3892532293074879e-05)"
42,"('ciudad', -0.0006157858223843265)","('los', 7.650704260257565e-05)","('falta', 7.678384676157e-06)","('ubican', -6.270428837490112e-06)","('tomar', 5.161257191442295e-06)"
43,"('la', 2.44006945048694e-33)","('policia', 2.3450047078272425e-33)","('dira', 9.82186177711943e-34)","('como', 4.113072898232724e-34)","('que', -2.986497526230063e-34)"
44,"('estan', -0.0030269163382432647)","('buen', 0.002720210953097834)","('bus', -0.0019137198257483297)","('los', 0.0006129713287426954)","('les', 4.921472283762813e-05)"
45,"('ciudad', -0.0003772809597690928)","('bici', -0.00030522222728482905)","('los', 5.2390099153955274e-05)","('prefiere', -1.1259943066601961e-05)","('pedalear', 1.091803804714223e-05)"
46,"('mas', -0.000817324681353203)","('hp', -0.0005665446368252703)","('los', 0.0004249249093570009)","('gustan', 2.326022888597284e-05)","('ninos', 1.2836487275161151e-05)"
47,"('paz', 0.006449296377557606)","('mil', -0.0031841932634738886)","('ano', 0.0019709425881886487)","('mas', -0.0013594077325161703)","('mujeres', 4.3412891908126304e-05)"
48,"('movil', 0.0030932828881093653)","('los', -0.0012992492959517873)","('interior', -0.0011699456980115083)","('licor', -0.0004865683590621589)","('partida', 6.216526650200213e-05)"
49,"('informacion', 0.0034717951522368474)","('los', -0.0013837793887208787)","('convivencia', 2.72326120718256e-05)","('transeuntes', 2.5903769836616847e-05)","('del', 1.9264884496668406e-05)"
50,"('ciudad', -0.0004393215687028428)","('desorden', 0.00039688624692315504)","('los', -0.00010569523682864962)","('drogas', 5.116132436808356e-05)","('las', 5.0725378012445235e-06)"
51,"('sur', 0.004697935690021254)","('arma', -0.0015517285818012895)","('celular', -0.0010728681358999198)","('coronavirus', -0.0009656768676093155)","('los', -0.00046145259446359803)"
52,"('pais', -0.0012096837284495353)","('edad', -0.0011246619902415998)","('cali', -0.0002855964314143305)","('medellin', 0.0002032679729051624)","('accidentes', 1.861688392868881e-05)"
53,"('asi', -0.0024432913306447527)","('sin', -0.0006676469323580204)","('manos', 0.0004450347104895058)","('ambulantes', 4.327225032142231e-05)","('se', -2.9103604403009536e-05)"
54,"('medellin', -0.000307459901552525)","('florez', -8.464358350741256e-05)","('son', -5.5586881846876906e-05)","('esta', -6.042824500548212e-06)","('creamos', -5.142852167987803e-06)"
55,"('drogos', 0.0)","('inmundos', 0.0)","('basofias', 0.0)","('sociales', 0.0)","('vandalos', 0.0)"
56,"('mil', -0.0008666354358943534)","('actor', 0.00032018156826475736)","('drogadiccion', -0.000247021485923219)","('formacion', 0.0002338222120270144)","('son', -1.5936215996664332e-05)"
57,"('los', -0.00021404493172764449)","('toxico', -2.9127766216093784e-08)","('sobrepoblado', -2.595019392734545e-08)","('un', -2.5195080876210146e-08)","('inseguro', -2.3547352969017433e-08)"
58,"('mal', -0.001638634466675741)","('corrupcion', -0.0005241276574474928)","('antro', 0.00021344472200420935)","('drogadiccion', 0.00013348499404099295)","('costoso', -2.507138862861213e-05)"
59,"('mujer', 0.009131664711683219)","('estacion', -0.005031881197336392)","('ladron', -0.003327983778604813)","('que', 0.00013039470782936967)","('la', 0.0001049948162269548)"
60,"('mujer', 0.013868626211404746)","('los', -0.00226431023515458)","('en', 4.079544877912474e-05)","('hija', 4.016287935422338e-05)","('ya', -3.3406582422351726e-05)"
61,"('sexual', 0.0019355290301408556)","('interpersonal', -0.0010328858167446156)","('violencia', 1.5226383575578089e-05)","('se', -1.4396820964445875e-05)","('intrafamiliar', -1.3442290127201266e-05)"
62,"('hoy', 0.0013711522226939766)","('hp', -0.0009098329481182547)","('educacion', -0.0006646437839074756)","('superior', -0.00029703960825098124)","('los', -0.00018418561031429204)"
63,"('estan', -0.002115987454576498)","('menor', -0.0017476777685247933)","('ied', 0.0014816051382658092)","('edad', -0.0008512614201208899)","('aqui', 0.0004339510881435573)"
64,"('nacional', 0.0024998882909803375)","('hoy', 0.0024913468212477475)","('col', -0.0018746992946033713)","('interior', -0.0016735475434313373)","('institucion', -0.0013847962514436257)"
65,"('trancon', -0.0016611873685612674)","('fds', 0.000516565042562958)","('en', -1.9088767886454927e-05)","('agobiante', 1.2303286211404744e-05)","('el', 1.2183138870924785e-05)"
66,"('dos', 0.005940626389598845)","('auxiliar', 1.0508909365444932e-06)","('la', 9.454391683366902e-07)","('policia', 9.113215840235075e-07)","('de', 7.183073354545221e-07)"
