,feature1,feature2,feature3,feature4,feature5
0,"('mujer', 0.15682684481299017)","('ano', 0.06426555417077207)","('alli', 0.04877435108890885)","('erradicacion', -0.03139582545537139)","('corporacion', -0.031017522955719863)"
1,"('igual', 0.031024833539105914)","('asi', -0.014675807003879578)","('nos', -0.006638307467874435)","('afecta', 0.00048437629398929814)","('bogota', -0.0004030029059363372)"
2,"('aqui', 0.026146048111597413)","('ciudad', -0.021655813688032047)","('garzon', -0.016656047670774193)","('asco', -0.012126231841250182)","('luis', 0.008780703955326399)"
3,"('normas', 7.535918094390294e-33)","('prohibido', 5.5481767139239866e-33)","('esto', 2.963861325710843e-33)","('pero', -2.652607655519104e-33)","('esta', 2.923532174885274e-34)"
4,"('mal', -0.041914250952882044)","('bus', -0.04147462398072017)","('ser', 0.029943913211150735)","('nivel', -0.017716933535209152)","('bien', 0.013993220565687983)"
5,"('ano', 0.1951591782585084)","('del', 2.3971079192477213e-05)","('lo', 2.1012717135525478e-05)","('corrido', 1.4865757804793071e-05)","('en', 3.3984154179129726e-06)"
6,"('superior', -0.025560862451465802)","('ramon', 0.003990481858766792)","('tribunal', 0.0038596965727074567)","('mas', 0.003373073883734038)","('los', 0.00041440987846343537)"
7,"('mujer', 0.1584934764016291)","('corrupcion', -0.15827533219869602)","('capital', 0.08039910100428353)","('un', -0.003079564484632246)","('deje', 0.0026461890835072182)"
8,"('ningun', -0.04747742041025489)","('favor', 0.02198434468166825)","('nos', 0.005170343195879579)","('varias', -0.0004941506541231284)","('localidades', 0.000296352610843873)"
9,"('dan', -0.01761099964302338)","('cai', -0.008293347135779184)","('son', -0.004262074990485501)","('los', 0.003942027858687931)","('grafitis', -0.003868944143692245)"
10,"('fleteo', 5.393031318125946e-33)","('que', 5.3264735601450095e-33)","('denuncia', 5.240463569030747e-33)","('comerciante', 1.906357272339438e-33)","('joyitas', -1.3743271127698608e-33)"
11,"('sexual', 0.1099318851502733)","('anos', -0.046410819757560916)","('los', -0.04444396970314943)","('intrafamiliar', -0.0015736183503485671)","('a', 0.0013950875605879694)"
12,"('lugar', -0.07166740273921877)","('capital', 0.06208935399561771)","('plan', 0.05832589126843874)","('son', -0.03588613874810544)","('asi', -0.014517749747954747)"
