,feature1,feature2,feature3,feature4,feature5
0,"('ano', 0.0038102576061173187)","('mujer', -0.0033636815495802805)","('paz', -0.0010055774390138731)","('alli', -0.00040507674114505015)","('corporacion', 7.22531830136034e-05)"
1,"('asi', -0.005895515883949231)","('igual', 0.0027461368326798003)","('nos', 0.0011333582986465837)","('tema', 6.895282064284212e-05)","('es', -5.970947509780389e-05)"
2,"('hpta', 0.010736585094622286)","('aqui', 0.00781758615306316)","('ciudad', -0.007727520945168694)","('asco', 0.005338707011599251)","('desorden', 0.004064723825806524)"
3,"('pero', 7.347522084381289e-33)","('esto', 2.878775593407906e-33)","('prohibido', 5.0460411271958895e-34)","('normas', 3.2414336281564328e-34)","('esta', 1.8648080987481077e-34)"
4,"('indignacion', 0.005614953135689609)","('bus', -0.00414237536092798)","('mal', -0.0029511789795205316)","('ser', 0.001973734231835441)","('unas', 0.0017324027994492792)"
5,"('ano', 0.014030787095670917)","('lo', 1.0173023310562081e-06)","('del', 1.688290010849618e-07)","('en', -1.6471097407543068e-07)","('corrido', 5.138124876130318e-09)"
6,"('tribunal', 0.006165619612593144)","('ramon', 0.0061390740931435706)","('los', -0.002690020116999512)","('superior', 0.002498861601381923)","('mas', -0.0020397481654030702)"
7,"('mujer', -0.0030864221049242252)","('corrupcion', -0.0007775808015420098)","('capital', 0.00019711618272670624)","('no', -5.476110752928665e-05)","('de', 3.980068654616885e-05)"
8,"('favor', -0.004483122732365182)","('ningun', -0.002886170540442498)","('nos', 0.001458388063350121)","('varias', -7.96805510769732e-05)","('en', 6.124795593356912e-05)"
9,"('asco', 0.005969411749916687)","('dan', -0.003494505774795884)","('cai', 0.002781340556171533)","('son', -0.0022897634048093677)","('grafitis', -0.001716441833353229)"
10,"('que', 0.0)","('joyitas', 0.0)","('comerciante', 0.0)","('denuncia', 0.0)","('fleteo', 0.0)"
11,"('sexual', 0.004690211497346644)","('los', -0.0024292810396344027)","('anos', 7.451578141519408e-05)","('violencia', -5.7473047384000644e-05)","('solamente', 4.196130059002195e-05)"
12,"('asi', -0.0037993762337259897)","('son', 0.0009971400868794282)","('lugar', -0.0009163008208175687)","('plan', -0.0003793672176683172)","('hacer', -3.886875033479759e-05)"
13,"('mujer', -0.003505891094354323)","('mas', -0.001321363792301987)","('rodriguez', 0.0008580802048175952)","('los', 0.0008517856260294622)","('dia', 0.00013515930901958695)"
14,"('atencion', 0.001963948377556109)","('los', -0.0017521994657253889)","('persecucion', 0.0006080754195682772)","('fontibon', 0.00037636467163333604)","('policia', 2.7072837275091687e-05)"
15,"('militar', -0.0025323520053133256)","('ahi', -0.002423721074796676)","('vez', 0.000961966620173422)","('anos', 0.0006449494730031707)","('unal', 0.0006333084373534174)"
16,"('favor', -0.00250560543155048)","('mas', -0.0019692353589788438)","('inclusion', 0.0008866919933901684)","('uneb', 0.0008727604526684073)","('mundial', 0.0005066828494076363)"
17,"('vias', -0.0018376556750963956)","('los', 0.0003998559586669702)","('normas', -2.526737188361055e-05)","('ninos', 2.373700871370952e-05)","('programa', -1.983942892220311e-05)"
18,"('dic', -0.004075505047038026)","('loc', 0.0031371687101740555)","('concejal', -0.0013574246519551995)","('nov', -6.230792688618794e-05)","('vejamenes', -5.1957224893541484e-05)"
19,"('celular', 0.0023665335769021243)","('hdp', -0.001101012799951941)","('feliz', -0.0003563607568542696)","('no', 3.2390911314310005e-05)","('el', -2.974314600034552e-05)"
20,"('alcohol', -0.002324387645049272)","('drogas', 0.0008056164622863731)","('en', -2.3459730998735234e-05)","('la', -2.2476379667990284e-05)","('o', 2.032714072509998e-05)"
21,"('van', -0.0024152187696555435)","('fin', -0.001043406592385614)","('los', 0.0008850756400617408)","('ciudad', -0.0003074953900869755)","('dejen', -4.690497447851493e-05)"
22,"('veo', -0.0031084205837270834)","('buses', -7.161685543276518e-07)","('esos', -6.222412485346144e-07)","('mismos', -5.034582113840793e-07)","('en', -4.6721178493535744e-07)"
23,"('lideres', 0.017717170469209235)","('pan', -0.003836181090932614)","('kennedy', -0.002428828893302981)","('dia', -0.0019328347453267114)","('las', 0.00013413719151682892)"
24,"('cartel', 0.006003288371474828)","('vean', 0.0034946963628895242)","('farc', 0.0024131291742581574)","('estas', -0.002082343474101247)","('los', -0.0019511923353788738)"
25,"('bus', -0.005782482704112645)","('tres', 0.005526551239609079)","('celular', 0.0029786932493929864)","('hombre', -0.0013763994382466507)","('estaciones', 9.614996987711517e-05)"
26,"('mujer', -0.002333407682507765)","('los', 0.0017623900581896807)","('mas', -0.0015227958715454586)","('veo', -0.0006371636831088837)","('un', -2.9014737838294552e-05)"
27,"('denuncian', 0.0)","('nuevo', 0.0)","('caso', 0.0)","('de', 0.0)","('intento', 0.0)"
28,"('seguramente', 2.6157010003867022e-33)","('muy', 1.8266154083114562e-33)","('esta', 1.662716186787469e-33)","('el', 1.136519603773712e-33)","('propietario', 5.780145058083534e-34)"
29,"('celular', 0.0043340682615609265)","('uno', 1.0191585557645303e-06)","('cuando', 9.162297592968447e-07)","('a', 7.244106480710564e-07)","('lo', 5.714477887520652e-07)"
30,"('sin', -0.0017750111962520465)","('ver', 0.00169229336816148)","('comparacion', 0.0006591025354644354)","('los', -0.0005225185013826267)","('tal', -0.00043079187208567616)"
31,"('mas', -0.004667612415397849)","('que', -1.1407588975980423e-06)","('encantaria', -9.85196417807629e-07)","('me', -9.610769489558945e-07)","('cada', -8.343291550448422e-07)"
32,"('van', -0.005122357397490319)","('de', -1.5523617014828948e-06)","('homofobia', -1.3138077913322705e-06)","('hay', -1.2025184998452252e-06)","('victimas', -9.815461460690272e-07)"
33,"('cai', 0.0040592003695826846)","('via', -0.004008779747004006)","('tweet', -0.0005436191842195801)","('los', -0.00014346382257058603)","('demostracion', -0.0001280503151459388)"
34,"('gran', -0.0016345479668835275)","('son', 0.0005807227513983632)","('caso', -4.7256710255966735e-05)","('el', -3.834369633208884e-05)","('las', 3.47985799728617e-05)"
