,feature1,feature2,feature3,feature4,feature5
0,"('paz', -0.12300278395663762)","('ano', -0.0931927753926637)","('mujer', -0.049406246802430054)","('corporacion', 0.028050008384820906)","('erradicacion', 0.027535979554052886)"
1,"('asi', 0.18327674559995782)","('igual', -0.1548817692691176)","('afecta', -0.0033602686866920917)","('nos', 0.003275901136573212)","('bogota', 0.002771526073525171)"
2,"('hpta', -0.14051227518980824)","('aqui', -0.0871647606035057)","('garzon', 0.08399264460219985)","('ciudad', -0.07454683555062787)","('empezo', 0.06515794312957049)"
3,"('normas', 6.028734475512235e-32)","('prohibido', 4.4385413711391893e-32)","('esto', 2.3710890605686743e-32)","('pero', -2.122086124415283e-32)","('esta', 2.3388257399082193e-33)"
4,"('bus', 0.15028531785703836)","('mal', 0.06969075239053962)","('indignacion', -0.04050979452824679)","('bien', 0.02093908946597693)","('nivel', -0.009944582846711987)"
5,"('ano', -0.3259464741945497)","('del', -4.003546651131688e-05)","('lo', -3.509453731397893e-05)","('corrido', -2.4828149953901276e-05)","('en', -5.675887412496767e-06)"
6,"('tribunal', -0.05226347083627401)","('ramon', -0.05214730932664769)","('los', 0.03639509317873149)","('mas', 0.0352238599764717)","('superior', 0.01919986583287654)"
7,"('corrupcion', 0.11614221245787444)","('mujer', -0.10129812207804731)","('capital', 0.015876629086213255)","('deje', -0.001805668604921337)","('por', 0.0015382218895383913)"
8,"('ningun', 0.2538095592635324)","('favor', -0.1535393072019619)","('nos', -0.01614206091938486)","('varias', 0.002137685428642399)","('localidades', -0.001879106969094438)"
9,"('son', -0.19312027089537842)","('grafitis', 0.12439930707442365)","('asco', 0.03658703847895979)","('los', 0.017747305545184236)","('dan', 0.002930306798922957)"
10,"('que', 0.0)","('joyitas', 0.0)","('comerciante', 0.0)","('denuncia', 0.0)","('fleteo', 0.0)"
11,"('anos', 0.07495912291796385)","('sexual', 0.024788315853720957)","('los', 0.011932628483294874)","('intrafamiliar', 0.0013999843105292756)","('violencia', -0.001172281102928841)"
12,"('son', -0.09968530709670548)","('lugar', 0.09745802155472777)","('asi', 0.0942471199223449)","('plan', 0.04283835823315642)","('capital', 0.005517750358340191)"
13,"('dia', -0.13142149304136183)","('mujer', -0.08449803029868731)","('los', 0.07962756559823932)","('mas', 0.03127753964013868)","('rodriguez', -0.010246079013781615)"
14,"('los', 0.15495117035203615)","('atencion', -0.12981016142755641)","('fontibon', -0.028413897204916393)","('persecucion', 0.008094577913825719)","('mucha', -0.0033417010831944117)"
15,"('militar', 0.2594194968138769)","('unal', -0.14367176368214704)","('ahi', -0.059522998067008316)","('anos', 0.04670939677207704)","('vez', 0.015750862378809845)"
16,"('inclusion', -0.0722609638633502)","('uneb', -0.06676291152833866)","('favor', -0.05773171066434306)","('mas', 0.05452701769314644)","('los', 0.053094493799568515)"
17,"('vias', -0.25509435230809435)","('los', 0.13837492497986256)","('resultados', -0.002586528099463745)","('de', -0.0018040692012037905)","('febrero', -0.0015137371936041766)"
18,"('dic', 0.23770002070450297)","('concejal', -0.18286411598892377)","('nov', 0.0729265804843677)","('loc', -0.04947845853550143)","('ninos', -0.0032287442270277564)"
19,"('celular', -0.15726372267526462)","('feliz', -0.10397863457918104)","('hdp', -0.04349939538073815)","('lograron', -0.004187449756685966)","('anoche', -0.004138968204006297)"
20,"('alcohol', -0.08435809582133362)","('drogas', 0.03045730928682102)","('eloina', -0.0006381248554648754)","('la', -0.000537694667080956)","('s', -0.0005168754130126069)"
