,feature1,feature2,feature3,feature4,feature5
39,"('esmad', -0.09920823165460964)","('usen', 0.01930164599503815)","('como', -0.0012436127015732319)","('violo', -0.001190980637629445)","('entre', 0.0007664759520168713)"
40,"('menor', 0.13372992390949254)","('horror', -0.029595681624266297)","('capital', -0.013876821582956042)","('un', 0.0010965744393574657)","('secuestro', -0.0009996351828075929)"
41,"('ruin', -0.05708962817384417)","('arma', 0.02305451658072015)","('desadaptadas', -4.566216996363458e-05)","('al', -3.802321423237003e-05)","('incultas', -3.6763374214582194e-05)"
42,"('ciudad', -0.058855156998344184)","('los', 0.0346420910318722)","('falta', 0.0004691250488957831)","('ubican', -0.00038258120988176524)","('tomar', 0.00031792312273808083)"
43,"('la', 0.0)","('policia', 0.0)","('dira', 0.0)","('que', 0.0)","('como', 0.0)"
44,"('bus', 0.11854786802995496)","('estan', 0.034524412405898985)","('los', -0.03214599308911126)","('buen', -0.023652761948406226)","('ya', 0.0016571464187274726)"
45,"('bici', -0.040148271110193055)","('ciudad', -0.03862693495892198)","('los', 0.026395487738297366)","('pedalear', 0.0009303082133253453)","('prefiere', -0.0006562216671949423)"
46,"('hp', 0.032760658571853715)","('mas', 0.013100857114088723)","('los', -0.0028196655790727805)","('gustan', -0.0003807841691028186)","('revolucionarios', 0.0003058391432198442)"
47,"('paz', -0.06910323835661857)","('ano', -0.0544528361896299)","('mil', 0.023300200753534776)","('mas', 0.02099780400794881)","('justicia', -0.0006420699525817193)"
48,"('movil', -0.06816131221994103)","('interior', 0.0671126601327777)","('los', 0.039480796930959246)","('licor', -0.028701193637432936)","('sigue', -0.0017020065614865817)"
49,"('informacion', 0.022145401899310285)","('los', 0.010174513387108786)","('convivencia', 0.00016257779881802706)","('transeuntes', 0.00015529168538969308)","('del', 0.00011665930415766186)"
50,"('ciudad', -0.0412238259432468)","('los', 0.017624427039247315)","('desorden', 0.007598252724195846)","('drogas', 0.004537714510612272)","('delincuentes', 0.000371010403433585)"
51,"('celular', -0.09488623149626767)","('sur', -0.04552044187570113)","('los', 0.04317539437129551)","('arma', 0.02621729723984666)","('coronavirus', 0.0095039183261056)"
52,"('pais', -0.04860198005050277)","('edad', 0.04546258732621312)","('medellin', 0.030165551887759302)","('cali', 0.002149711158297722)","('en', 0.0007801004427650159)"
53,"('asi', 0.053448161813403956)","('sin', 0.01099305527240119)","('manos', 0.007434275587109929)","('ambulantes', -0.000990594244998837)","('vendedores', 0.0007146543559651785)"
54,"('son', -0.053804754559831566)","('medellin', 0.03171449490239676)","('florez', 0.0269293540458704)","('ya', 0.00036775874664777045)","('ingresar', -0.00029322910190516)"
55,"('drogos', 0.0)","('inmundos', 0.0)","('basofias', 0.0)","('sociales', 0.0)","('vandalos', 0.0)"
56,"('son', -0.03151604080572559)","('drogadiccion', 0.024873555137534104)","('actor', -0.015478007367195897)","('los', 0.011032820836594827)","('tv', 0.009006835813713114)"
57,"('los', 0.016975342683291126)","('toxico', 2.3100468164616058e-06)","('sobrepoblado', 2.0580418842891143e-06)","('un', 1.9981558467808957e-06)","('inseguro', 1.8674788639350899e-06)"
58,"('mal', 0.03567686773626574)","('drogadiccion', 0.012525889355014657)","('antro', 0.009685001999953811)","('corrupcion', 0.0035450238741617686)","('costoso', 0.0006656933199070612)"
59,"('ladron', 0.07161569560130983)","('estacion', 0.06821059674484407)","('mujer', -0.04378113043883235)","('a', -0.0010233637855092243)","('que', -0.0009931571333454726)"
60,"('mujer', -0.07420013209046993)","('los', 0.02566802855495807)","('en', -0.00017341603481279104)","('hija', -0.00016991706423853968)","('ya', 0.00014142054881117536)"
61,"('sexual', 0.04807585607040441)","('interpersonal', -0.002553485858633309)","('violencia', 0.0004169123750801486)","('se', -0.0003854774134419131)","('intrafamiliar', -0.00036013151325089277)"
62,"('hoy', 0.027602097676415343)","('hp', 0.021972006054145312)","('los', -0.016530253732707542)","('educacion', 0.006872800160536429)","('superior', -0.0065783600163692646)"
63,"('menor', 0.09427228794866802)","('aqui', -0.0397088063529557)","('ied', -0.03615479630513572)","('estan', 0.03441556807846046)","('edad', 0.02272067242720784)"
64,"('col', 0.0515499463615058)","('interior', 0.03928399835676251)","('hoy', 0.03364914195516338)","('nacional', -0.0307930438804042)","('institucion', 0.020976487452516807)"
65,"('trancon', 0.08997516681447322)","('fds', -0.02678802973202497)","('en', 0.0009907822029065502)","('agobiante', -0.0006370909216297679)","('el', -0.0006310595559530576)"
66,"('dos', 0.01686799373305305)","('auxiliar', 2.983931418886774e-06)","('la', 2.6845084879348155e-06)","('policia', 2.587633990059774e-06)","('de', 2.039583511614034e-06)"
67,"('lugar', 0.032299344735454094)","('aqui', -0.029390499584252563)","('anos', 0.02877384200862127)","('habitacion', -0.027411034511728626)","('vez', 0.016402078479193543)"
68,"('celular', -0.14306672229632558)","('andar', 0.02032663318451574)","('me', -0.001812665030141356)","('por', -0.0015619291310998494)","('el', -0.0015344036747156006)"
69,"('volver', -0.027502352321905957)","('van', 0.01577959624401)","('drogadictos', -3.6915915745800216e-05)","('hacer', -2.733348852768399e-05)","('de', 2.5319741058846543e-05)"
70,"('movil', -0.09919001504705556)","('bronx', 0.07561562905775772)","('son', -0.028650378575965366)","('ladrones', -0.0015534815705119812)","('con', -0.0013860774437928407)"
71,"('celular', -0.09105015160211077)","('los', 0.03527276012291052)","('adiccion', -0.002647159390006046)","('kawaii', -0.0022735933133964477)","('del', 0.0012461100191998708)"
72,"('peor', 0.02841041550035419)","('social', -0.02461499201884077)","('manos', 0.014427041571707794)","('sin', 0.013551185960257341)","('los', -0.005687750581642605)"
