,feature1,feature2,feature3,feature4,feature5
0,"('mujer', -0.021307607848816777)","('ano', 0.013353620119763938)","('paz', -0.008801581495443979)","('alli', -0.0015903981065736122)","('corporacion', 0.0007870879306656361)"
1,"('asi', -0.023319274967629013)","('igual', 0.005110829157291984)","('nos', 0.004107126425711482)","('por', -0.00016885709895353397)","('afecta', 0.00016083869248089466)"
2,"('hpta', 0.12279998980547294)","('ciudad', -0.08114712891102649)","('aqui', 0.069808337692369)","('asco', 0.053343152847675566)","('desorden', 0.042814701918329715)"
3,"('pero', 0.0)","('esto', 0.0)","('esta', 0.0)","('prohibido', 0.0)","('normas', 0.0)"
4,"('indignacion', 0.030919738857121095)","('bus', -0.017730907823381766)","('mal', -0.01564168118888886)","('nivel', -0.01033313753023983)","('ser', 0.006852972367083585)"
5,"('ano', 0.08376208151450351)","('del', 1.028835798161233e-05)","('lo', 9.01863259136621e-06)","('corrido', 6.3803651364468485e-06)","('en', 1.458595756525207e-06)"
6,"('tribunal', 0.05305331431555934)","('ramon', 0.052814887286389944)","('mas', -0.025927827839771152)","('los', -0.024799639492191248)","('superior', 0.015980243595903845)"
7,"('mujer', -0.014321589615311933)","('corrupcion', -0.002021394995608831)","('capital', -0.0009449796186531025)","('un', 0.00025714270965529885)","('deje', -0.0002056878790847154)"
8,"('favor', -0.013875740356531862)","('ningun', -0.010302571674619098)","('nos', 0.003587238859545512)","('varias', -0.0002800704610248132)","('vandalismo', -0.00016523067115138307)"
9,"('asco', 0.030374788874917794)","('dan', -0.020562703750435802)","('cai', 0.015595332703083428)","('grafitis', -0.014561200756243639)","('son', -0.014482063744522723)"
10,"('que', 0.0)","('joyitas', 0.0)","('comerciante', 0.0)","('denuncia', 0.0)","('fleteo', 0.0)"
11,"('anos', -0.007283129466846297)","('sexual', 0.004073082998812082)","('los', 0.001252256547880959)","('violencia', 9.84659414184754e-05)","('intrafamiliar', -8.303354803054987e-05)"
12,"('asi', -0.012483446926683895)","('son', 0.0030737776179255386)","('lugar', -0.002664619850441259)","('plan', -0.0015949417985203493)","('capital', -0.0014065007467598323)"
13,"('mujer', -0.015780888534926985)","('mas', -0.006112431151735796)","('los', 0.003538000998413797)","('rodriguez', 0.0015741503878656203)","('las', 0.0001804241681477192)"
14,"('persecucion', 0.0022513306042270666)","('atencion', 0.0019115760107952765)","('fontibon', 0.001532441334604431)","('los', -0.0006051431933800124)","('mucha', -0.00011034863611496819)"
15,"('militar', -0.010636843374493223)","('ahi', -0.00791518746614484)","('vez', 0.004069408312810331)","('anos', -0.002921591418234264)","('unal', 0.0027615118175749556)"
16,"('mas', -0.011785336095756131)","('favor', -0.008668691154012542)","('uneb', 0.0027267313594054885)","('inclusion', 0.0021903912980736307)","('mundial', 0.0019368981951956965)"
17,"('vias', -0.012803279705579125)","('los', 0.004538147178945678)","('resultados', -0.0001788932192774325)","('de', -0.00012501923567267932)","('febrero', -0.00010477936201469396)"
18,"('dic', -0.016849294299204814)","('loc', 0.01110506613290853)","('concejal', -0.006115715546069862)","('nov', -0.0012277098931606648)","('a', 0.00020545588189409665)"
19,"('feliz', -0.006657231407653435)","('hdp', -0.005138724406133398)","('celular', 0.004580295878339525)","('anoche', 0.0001531001737042953)","('lograron', -0.00014559983933872588)"
20,"('alcohol', -0.010964382264891288)","('drogas', 0.0034418801509172275)","('eloina', -7.234282496955838e-05)","('la', -6.10566559921155e-05)","('s', -5.873009516453444e-05)"
21,"('van', -0.008543945667804222)","('fin', -0.00509503719750223)","('los', 0.003720862374005665)","('ciudad', -0.001054908587894675)","('manosear', 0.0001702836182226271)"
22,"('veo', -0.015756513792419755)","('buses', -2.9534640897325736e-06)","('en', -2.8318581027934456e-06)","('esos', -2.591592291610989e-06)","('mismos', -2.3732496399300292e-06)"
23,"('lideres', 0.1278045453906586)","('pan', -0.0374852306112541)","('kennedy', -0.030307879600192107)","('dia', -0.026488020270006685)","('con', 0.0016338283556313912)"
24,"('cartel', 0.05419632438031176)","('vean', 0.03485032087554034)","('estas', -0.021369743255396725)","('farc', 0.020032999608694903)","('los', -0.019303546081593993)"
25,"('tres', 0.027803587713025022)","('bus', -0.023332990961705383)","('celular', 0.010672390967715205)","('hombre', -0.009602604056219988)","('nunca', 0.0004850016390134073)"
26,"('mujer', -0.009960252955385695)","('mas', -0.007312172055821539)","('los', 0.006250707619996419)","('veo', -0.0026865455649655026)","('verdad', 0.0002562378825140881)"
27,"('denuncian', 0.0)","('nuevo', 0.0)","('caso', 0.0)","('de', 0.0)","('intento', 0.0)"
28,"('muy', 0.0)","('seguramente', 0.0)","('el', 0.0)","('propietario', 0.0)","('esta', 0.0)"
29,"('celular', 0.010110605862716924)","('lo', 2.6687762710449255e-06)","('a', 1.7578694842487039e-06)","('cuando', 1.6887846653940368e-06)","('uno', 1.5835833014262573e-06)"
30,"('sin', -0.008124694485988546)","('ver', 0.0075124604924705065)","('anos', -0.0029131660772280803)","('comparacion', 0.0019091341951869136)","('tal', -0.0009380775046169071)"
31,"('mas', -0.02633370508707906)","('que', -6.91297753407215e-06)","('encantaria', -6.6986830689721455e-06)","('cada', -6.218555247841454e-06)","('me', -4.150151585327833e-06)"
32,"('van', -0.020417232779148187)","('victimas', -4.60049175294916e-06)","('homofobia', -4.526995185792234e-06)","('hay', -4.21000359629188e-06)","('de', -3.581234298890138e-06)"
33,"('via', -0.018364355793659998)","('cai', 0.01822327664909062)","('tweet', -0.004557477543265772)","('los', -0.0009137431273074445)","('demostracion', -0.0008170126134233442)"
34,"('gran', -0.008615416728543946)","('son', 0.0020274675782552057)","('minimo', 0.00019587827267823123)","('de', -0.00017626706035800223)","('hay', -0.00012902295751429603)"
35,"('los', -0.0020108270286427637)","('movilizarse', -4.566071857384483e-07)","('es', -4.44111201281599e-07)","('en', -4.286605176106632e-07)","('bogota', -3.188435536520678e-07)"
36,"('vial', -0.005938474425375442)","('ciudad', -0.004882446569390605)","('los', 0.004434973706062564)","('peatones', 0.00015449578968898577)","('para', -0.0001296689080100199)"
37,"('menor', -0.0009551041917778144)","('atacado', -1.4390395593104995e-07)","('fue', -1.2783208142754775e-07)","('tijeras', -1.2714707945301428e-07)","('con', -1.1733770920197606e-07)"
38,"('en', 0.0)","('trabajamos', 0.0)","('para', 0.0)","('que', 0.0)","('las', 0.0)"
39,"('esmad', -0.022828534943212554)","('usen', 0.0031695085394110502)","('invocan', 0.00022521381898006284)","('tiene', -0.00021719996029718878)","('pero', 0.00016703274802295606)"
40,"('capital', -0.005778786547035178)","('horror', -0.003147244911642862)","('menor', -0.0002046397134932974)","('panico', -0.0001280332836533679)","('causo', -0.00012493726471820812)"
41,"('arma', 0.019367863455414705)","('ruin', -0.01929483800979297)","('un', 0.000273138869567173)","('personas', 0.00023379011414472877)","('es', 0.00018787294537243282)"
42,"('ciudad', -0.007573993625884437)","('los', 0.0013336283190973992)","('genera', -9.477826617660283e-05)","('un', -7.53802083425886e-05)","('de', 6.912454664348052e-05)"
43,"('la', 0.0)","('policia', 0.0)","('dira', 0.0)","('que', 0.0)","('como', 0.0)"
44,"('bus', -0.009097275344751106)","('estan', -0.007325089882946644)","('buen', -0.006300955638454212)","('los', 0.005558877445804527)","('policia', 0.0002954899533307839)"
45,"('bici', -0.006307069073950947)","('ciudad', -0.004139358350518169)","('los', 0.0012692375441630344)","('un', -0.0001296693444173679)","('cultura', 9.647663088505389e-05)"
46,"('mas', -0.011757440510707604)","('los', 0.004546333137811492)","('hp', -0.0034054307227338477)","('ya', 0.00013781711303030342)","('otras', 0.00013376545612369956)"
47,"('ano', 0.03135263396683304)","('mil', -0.018412621341867417)","('mas', -0.016029959928764367)","('paz', -0.011616406824094342)","('sera', -0.000618518884324672)"
48,"('movil', -0.006796191710674997)","('los', 0.006088176650739605)","('interior', -0.0054581579586145)","('licor', -0.00020596089191817372)","('pijamada', 0.00020386666674896466)"
49,"('informacion', -0.01300124704384803)","('los', 0.0035043269790710034)","('seguridad', -0.00021337711467871523)","('y', -0.00010299325629588047)","('para', 0.00010084817977366117)"
50,"('desorden', 0.04383783435007157)","('ciudad', -0.01355342930174364)","('los', -0.009753841421931173)","('drogas', -0.007525002780123134)","('y', -0.0005254659023901027)"
