,feature1,feature2,feature3,feature4,feature5
0,"('paz', 0.0513032536177818)","('mujer', -0.04306710117098164)","('eje', 0.013172725744762751)","('alli', -0.0064373217362059315)","('ano', 0.0005855138179950677)"
1,"('asi', -0.05834467897463851)","('igual', 0.03895240432867557)","('nos', 0.007284108168340775)","('tema', 0.000640790798896787)","('es', -0.0006312206609808534)"
2,"('ciudad', 0.06111963970351072)","('garzon', -0.020118147823055047)","('asco', -0.017267293078634845)","('luis', -0.01576282767574862)","('empezo', -0.008342457148625046)"
3,"('pero', 5.878017667505031e-32)","('esto', 2.303020474726325e-32)","('prohibido', 4.0368329017567116e-33)","('normas', 2.5931469025251462e-33)","('esta', 1.4918464789984862e-33)"
4,"('bus', -0.056280974685131845)","('ser', -0.02160385702750728)","('nivel', 0.019460146122320877)","('mal', -0.00860028874004451)","('indignacion', 0.006430912958301127)"
5,"('ano', 0.004057760638460925)","('lo', 2.9420796768029025e-07)","('del', 4.8826033104424826e-08)","('en', -4.7635082961982064e-08)","('corrido', 1.48596659163618e-09)"
6,"('mas', -0.015634527062005937)","('superior', 0.010773189861907857)","('los', -0.005933584244665078)","('tribunal', 0.001264523809694843)","('ramon', 0.0012123305350421757)"
7,"('mujer', -0.03781175573406861)","('capital', -0.02658565349128809)","('corrupcion', 0.017879253616775368)","('no', -0.0006979857423791028)","('de', 0.0005028547533293689)"
8,"('favor', 0.09439842734783595)","('ningun', -0.05802688188733321)","('nos', -0.0016478812999734978)","('cuentan', 0.000842302590808747)","('varias', -0.0007333764688005003)"
9,"('son', 0.07073108297442605)","('grafitis', -0.02347784144435796)","('asco', -0.019716275479603262)","('cai', -0.0072908433731671655)","('los', -0.004875310231866553)"
10,"('que', 0.0)","('joyitas', 0.0)","('comerciante', 0.0)","('denuncia', 0.0)","('fleteo', 0.0)"
11,"('sexual', -0.07486265092553637)","('los', 0.02945596788263031)","('anos', -0.02103520021714242)","('violencia', 0.0008649871759335826)","('solamente', -0.0007436389961494351)"
12,"('son', 0.058358357971183654)","('plan', -0.03582179706627678)","('asi', -0.035327832011769374)","('capital', -0.02146240010042638)","('lugar', -0.009038873143964407)"
13,"('dia', 0.05466231886556734)","('mujer', -0.05383500638255862)","('mas', -0.017355306622110867)","('rodriguez', -0.0137940930236388)","('los', -0.004068647598331184)"
14,"('atencion', -0.0192105920899219)","('fontibon', 0.016635136008002645)","('los', -0.005342195441806499)","('persecucion', -0.0016551630289654408)","('policia', -0.000572612620342053)"
15,"('militar', -0.059729074982547085)","('unal', 0.051129073586125014)","('anos', -0.020639404691283874)","('vez', -0.01827235795303338)","('ahi', 0.006605734222173332)"
16,"('favor', 0.03922264993020964)","('mas', -0.027162295893765162)","('inclusion', -0.011853126051101857)","('mundial', -0.010101033976699356)","('los', -0.006783183690710646)"
17,"('vias', 0.03864195679082782)","('los', -0.027298024126215372)","('normas', 0.0003785725017727435)","('ninos', -0.00035958304035728014)","('programa', 0.0002961289208541633)"
18,"('concejal', 0.06873754186512343)","('dic', -0.06740723259888325)","('nov', -0.02016426528265766)","('loc', 0.0019802527469036575)","('sigue', -0.0008775174048345512)"
19,"('celular', 0.07159593554760062)","('hdp', 0.025300833558992774)","('feliz', 0.015404562992493558)","('no', 0.0011322349513104527)","('el', -0.0008272618480663653)"
20,"('alcohol', 0.03063657863335792)","('drogas', -0.010702128152327899)","('en', 0.00031160339924139876)","('la', 0.00029854984927102146)","('o', -0.00027009095768029776)"
21,"('ciudad', 0.06017122637751149)","('fin', -0.04617452575126728)","('los', -0.013294107379126249)","('van', 0.004639272215545446)","('y', -0.0009757317782772371)"
