,feature1,feature2,feature3,feature4,feature5
0,"('paz', 0.030254829923149186)","('mujer', 0.023795271474372683)","('alli', -0.006791288972897637)","('erradicacion', -0.005181361193422109)","('eje', -0.0051734729889371155)"
1,"('asi', -0.010692172541665578)","('nos', 0.00364236635650128)","('igual', -0.0020157926757515708)","('derecha', -0.00010514254618678213)","('consecuencias', -9.61174515738934e-05)"
2,"('aqui', -0.003196417364928748)","('hpta', 0.0022309300814343565)","('asco', -0.0014189825286346856)","('garzon', -0.0013863990154386894)","('drogas', 0.000703698235286755)"
3,"('normas', 1.8839795235975734e-33)","('prohibido', 1.3870441784809967e-33)","('esto', 7.409653314277107e-34)","('pero', -6.63151913879776e-34)","('esta', 7.308830437213185e-35)"
4,"('bien', -0.003249528421029192)","('ser', -0.0031108006288094146)","('bus', -0.0023890724491945135)","('mal', -0.00216504465836724)","('indignacion', 0.0010839854460742222)"
5,"('ano', 0.0037052860804615705)","('del', 4.5511416300562723e-07)","('lo', 3.989467931229764e-07)","('corrido', 2.8224081470860405e-07)","('en', 6.452220928526706e-08)"
6,"('mas', -0.006041783292267965)","('superior', -0.0032075311012264704)","('tribunal', 0.002179178177494449)","('ramon', 0.0021432563581802073)","('los', 0.0011193096167396652)"
7,"('mujer', 0.024938627384082923)","('corrupcion', -0.020780164524259497)","('capital', 0.011764998200932773)","('un', -0.0004922518935486693)","('deje', 0.0003863654355225146)"
8,"('favor', -0.008572662782430452)","('ningun', -0.005243192989181525)","('nos', 0.0021441511576082723)","('varias', -0.0001285870213976884)","('vandalismo', -7.975226253409152e-05)"
9,"('dan', -0.005383640540500508)","('grafitis', -0.0019564983192557096)","('son', 0.0014335632425787005)","('los', 0.0010220771288153609)","('cai', -0.00034323655884457556)"
10,"('fleteo', 1.3482578295314866e-33)","('que', 1.3316183900362524e-33)","('denuncia', 1.3101158922576868e-33)","('comerciante', 4.765893180848595e-34)","('joyitas', -3.435817781924652e-34)"
11,"('anos', -0.005665779815259305)","('los', 0.0021869585203082536)","('sexual', 0.0017330349684128072)","('violencia', 6.846357468387147e-05)","('intrafamiliar', -5.4036012512623284e-05)"
12,"('asi', -0.009272594201553125)","('capital', 0.008213065771385546)","('lugar', -0.004457623703677113)","('plan', -0.0038697053935801582)","('son', 0.0010156772732574613)"
13,"('mujer', 0.023738442262999298)","('mas', -0.01029988877037399)","('rodriguez', -0.003931820472341707)","('dia', -0.0038815724125577634)","('los', -0.001256281654206642)"
14,"('los', -0.07360612943932865)","('persecucion', 0.06119050164185178)","('fontibon', 0.05026151843260662)","('atencion', 0.0034725454678663165)","('policia', 0.0013138353079403442)"
15,"('vez', 0.008706959271359144)","('militar', -0.0054087984358544595)","('ahi', -0.004934646262993577)","('anos', -0.004104645851476484)","('dentro', -0.00015400564762093577)"
16,"('mas', -0.008864516076987489)","('favor', -0.004497707478416856)","('uneb', 0.0017448564042793413)","('los', 0.00152468358391563)","('inclusion', 0.0013831793551384237)"
17,"('vias', 0.013993504548171892)","('los', -0.0049426630801058)","('resultados', 0.00012166144401811678)","('de', 8.496132941360435e-05)","('febrero', 7.142456954866855e-05)"
18,"('dic', -0.005828368081238151)","('concejal', -0.003190001406528985)","('loc', -0.0009277679974897364)","('nov', 0.0008563955937462172)","('de', 8.919608023694212e-05)"
19,"('celular', -0.00949423094159)","('feliz', -0.00047406772032951907)","('porque', -0.00014548463337847004)","('anoche', -0.00011084968161983685)","('hdp', 9.737095478495699e-05)"
20,"('alcohol', -0.006271247115817104)","('drogas', 0.002054245218191671)","('eloina', -4.313304927101158e-05)","('la', -3.638500823565125e-05)","('s', -3.499144490284741e-05)"
21,"('van', -0.004133363185318164)","('fin', -0.002518405878433071)","('los', 0.0023525250381563737)","('ciudad', -0.00019997106765750095)","('manosear', 9.245194790163499e-05)"
22,"('veo', -0.006110973186572534)","('buses', -1.145465303898533e-06)","('en', -1.0983018935775834e-06)","('esos', -1.0051177064446806e-06)","('mismos', -9.204361514076098e-07)"
23,"('kennedy', 0.024934936779347175)","('dia', -0.01035586896987982)","('pan', -0.008815496020398378)","('lideres', 0.0016820823186825431)","('de', -0.00037668847668285706)"
24,"('ver', -0.002992378881636882)","('farc', -0.001784308400344008)","('los', 0.0007398338605029753)","('cartel', 0.0005351865593089953)","('estas', -0.0001148486419907846)"
25,"('celular', -0.007252480015652254)","('bus', -0.006568367920226468)","('tres', 0.005522783100039379)","('hombre', 0.0018182805465964608)","('las', 0.000251106239791372)"
26,"('mujer', 0.016844856123076804)","('mas', -0.013011143316828925)","('veo', -0.006884448753054548)","('los', -0.002342003662912123)","('cuando', -0.00027636819355222024)"
27,"('denuncian', 0.0)","('nuevo', 0.0)","('caso', 0.0)","('de', 0.0)","('intento', 0.0)"
28,"('muy', 0.0)","('seguramente', 0.0)","('el', 0.0)","('propietario', 0.0)","('esta', 0.0)"
29,"('celular', -0.016478410999196853)","('lo', -4.3496099893247494e-06)","('a', -2.865000993779151e-06)","('cuando', -2.7524055613855875e-06)","('uno', -2.5809468637886486e-06)"
30,"('comparacion', 0.011608923042843418)","('sin', -0.004088367719306473)","('ver', -0.003186952165287164)","('anos', -0.0031387184906247157)","('tal', -0.0018299925603992332)"
31,"('mas', -0.01828809777954024)","('que', -4.8008895319822434e-06)","('encantaria', -4.652067400096502e-06)","('cada', -4.3186306691519185e-06)","('me', -2.8821761974359315e-06)"
32,"('van', -0.009691973753744471)","('victimas', -2.1838339115915607e-06)","('homofobia', -2.1489454030387936e-06)","('hay', -1.9984708407802695e-06)","('de', -1.699996723667471e-06)"
33,"('tweet', -0.0013307851396821928)","('cai', -0.0011490236759377826)","('los', 0.0004169721438676819)","('via', 0.0003485464174649527)","('demostracion', -3.195374045823762e-05)"
34,"('gran', -0.006640818408847705)","('son', 0.0017484533015059377)","('minimo', 0.00014951177897005446)","('de', -0.00013450746299702943)","('hay', -9.842954686476826e-05)"
35,"('los', -0.0005234496700722401)","('movilizarse', -1.1886197933605652e-07)","('es', -1.1560907948591283e-07)","('en', -1.1158702529866923e-07)","('bogota', -8.299995503634937e-08)"
36,"('ciudad', -0.0037594707456103976)","('vial', 0.0024893077802094427)","('los', 0.0021888211195668513)","('de', 3.911844615048765e-05)","('como', 3.879484608693536e-05)"
37,"('menor', -0.01540764356563575)","('atacado', -2.321443963658866e-06)","('fue', -2.062174120732976e-06)","('tijeras', -2.0511237386151446e-06)","('con', -1.8928799766121593e-06)"
38,"('en', -1.7795449159935774e-33)","('que', -1.0930737631885536e-33)","('trabajamos', 8.895270680105225e-34)","('las', -5.059176835834241e-35)","('para', 2.529487950842285e-35)"
39,"('esmad', -0.014290024172384057)","('usen', 0.0020591723226936224)","('invocan', 0.0001477697488324945)","('tiene', -0.00014223330606002717)","('pero', 0.00010969168092372693)"
40,"('menor', -0.014835370590032418)","('capital', 0.013116071002196975)","('horror', -0.003463524109306695)","('otro', -0.00022579158616855928)","('causo', -0.00014344584549667416)"
41,"('arma', -0.007773831938385066)","('ruin', 0.0004732381010535215)","('un', -8.846381459841389e-05)","('personas', -7.616356860218179e-05)","('es', -6.11050829349329e-05)"
42,"('ciudad', -0.003805311971763087)","('los', 0.001174466803102721)","('genera', -4.7988177972586506e-05)","('un', -3.813860872786104e-05)","('de', 3.522601035716551e-05)"
43,"('como', 3.1705331754992344e-33)","('la', -9.779213911989679e-34)","('policia', 9.647371201630318e-34)","('que', 5.376461958286555e-34)","('dira', 3.153652898710893e-34)"
44,"('estan', -0.010850719271558215)","('bus', -0.007103983074734986)","('buen', 0.006477865223933755)","('los', 0.0025004674323293166)","('policia', 0.00019834224365632182)"
45,"('bici', -0.005020367541911355)","('ciudad', -0.0018536396554222423)","('los', 0.001171061997504026)","('un', -7.261710365902078e-05)","('cultura', 5.1252486565483084e-05)"
46,"('mas', -0.008780966320726398)","('los', 0.003343478743365006)","('hp', -0.000641347084354036)","('ya', 9.749473093479526e-05)","('otras', 9.16826184218039e-05)"
47,"('paz', 0.02409336128003907)","('mil', -0.015482443351246334)","('mas', -0.013457315311234367)","('ano', 0.0019605469887231126)","('casas', 0.00023730178987300192)"
48,"('movil', 0.010931082254673133)","('interior', -0.0056932032473015525)","('los', -0.003271381383204741)","('licor', -0.002685178322260496)","('pijamada', -0.00031237349361247925)"
49,"('informacion', 0.005527906547852171)","('los', -0.0013003220626402222)","('seguridad', 3.043973146885978e-05)","('y', 1.5190821908290256e-05)","('para', -1.3680688164705331e-05)"
50,"('ciudad', -0.00228932888285966)","('desorden', 0.0009104796740716222)","('drogas', 0.0005192964059077476)","('los', 0.00025759558939571166)","('transmilenio', 2.6341728181766307e-05)"
51,"('sur', 0.018200985706931676)","('celular', -0.013005184138095111)","('arma', -0.0076098189298760945)","('coronavirus', -0.003584333786224361)","('me', -0.0004121734612552633)"
52,"('pais', -0.004757455964624575)","('edad', -0.0038767893754325907)","('cali', -0.0010695569338430178)","('ellas', 9.804575109538562e-05)","('murieron', -9.663915366663601e-05)"
53,"('asi', -0.00924163199541725)","('sin', -0.002756421632949845)","('manos', 0.0012387690536054799)","('en', 0.00018280821230265252)","('tomar', -0.0001099673781879743)"
54,"('medellin', -0.0037541631386403865)","('son', 0.0009057742497512934)","('florez', 0.0003930593528591541)","('universitaria', -0.00011101381777215197)","('la', 6.564141759623329e-05)"
55,"('vandalos', 9.350377259574145e-33)","('sociales', 7.73310862007158e-33)","('inmundos', 5.9800641229213925e-33)","('basofias', 5.8995718620965195e-33)","('drogos', 5.447893165511101e-33)"
56,"('mil', -0.005160939423999782)","('los', 0.0009573797682981174)","('actor', -0.0009476505142019391)","('drogadiccion', -0.0008703379836735916)","('son', 0.000815406773072724)"
